Time,Potential
0.000000,26486.116743
0.004018,26486.116743
0.008353,26486.116743
0.012067,26486.116743
0.016903,26486.116743
0.021478,26486.116743
0.030279,26457.047798
0.034943,26457.047798
0.040185,26457.047798
0.044873,26457.047798
0.049496,26457.047798
0.055299,26457.047798
0.059274,26457.047798
0.062990,26457.047798
0.067517,26453.909386
0.073379,26453.909386
0.077261,26453.909386
0.081499,26453.909386
0.086248,26453.909386
0.090767,26453.909386
0.095364,26453.909386
0.099405,26453.909386
0.103016,26453.909386
0.106413,26453.909386
0.109739,26453.909386
0.112880,26453.909386
0.115920,26453.909386
0.118881,26453.909386
0.121967,26453.909386
0.124682,26453.909386
0.128064,26453.909386
0.130537,26453.909386
0.132959,26453.909386
0.135374,26453.909386
0.137988,26453.909386
0.140394,26453.909386
0.142767,26453.909386
0.145150,26453.909386
0.147503,26453.909386
0.149998,26453.909386
0.152349,26453.909386
0.154738,26453.909386
0.157108,26453.909386
0.159440,26453.909386
0.161773,26453.909386
0.164109,26453.909386
0.166609,26453.909386
0.170594,26453.909386
0.174704,26453.909386
0.178320,26453.909386
0.180656,26453.909386
0.183314,26453.909386
0.185675,26453.909386
0.188028,26453.909386
0.190371,26453.909386
0.192717,26453.909386
0.195062,26453.909386
0.200774,26453.909386
0.203234,26453.909386
0.206423,26453.909386
0.209476,26453.909386
0.212588,26453.909386
0.217865,26450.656803
0.221102,26450.656803
0.224347,26450.656803
0.227638,26450.656803
0.231381,26450.656803
0.235284,26450.656803
0.238772,26450.656803
0.242312,26450.656803
0.245929,26450.656803
0.251585,26450.656803
0.255849,26450.656803
0.259685,26450.656803
0.263443,26450.656803
0.267107,26450.656803
0.270742,26450.656803
0.274271,26450.656803
0.278038,26450.656803
0.281324,26450.656803
0.284393,26450.656803
0.287319,26450.656803
0.290118,26450.656803
0.292885,26450.656803
0.295621,26450.656803
0.298224,26450.656803
0.300762,26450.656803
0.303327,26450.656803
0.305835,26450.656803
0.308292,26450.656803
0.320667,26450.656803
0.323199,26450.656803
0.325821,26450.656803
0.329500,26450.656803
0.331993,26450.656803
0.334854,26450.656803
0.337216,26450.656803
0.339565,26450.656803
0.341977,26450.656803
0.344321,26450.656803
0.346653,26450.656803
0.348977,26450.656803
0.351563,26450.656803
0.353902,26450.656803
0.356250,26450.656803
0.358706,26450.656803
0.361115,26450.656803
0.363428,26450.656803
0.365785,26450.656803
0.368170,26450.656803
0.370490,26450.656803
0.372825,26450.656803
0.375439,26450.656803
0.377779,26450.656803
0.380085,26450.656803
0.382414,26450.656803
0.384808,26450.656803
0.387796,26450.656803
0.391084,26450.656803
0.394185,26450.656803
0.397340,26450.656803
