Time,Potential
0.000000,26486.116743
0.007753,26486.116743
0.015848,26486.116743
0.021427,26486.116743
0.025859,26486.116743
0.030077,26486.116743
0.045217,26432.553408
0.048870,26432.553408
0.054355,26432.553408
0.059643,26432.553408
0.064897,26432.553408
0.069750,26432.553408
0.076762,26432.553408
0.083929,26432.553408
0.088754,26432.553408
0.092050,26432.553408
0.095176,26432.553408
0.098845,26432.553408
0.101965,26432.553408
0.105751,26432.553408
0.108766,26432.553408
0.111964,26432.553408
0.115373,26432.553408
0.118625,26432.553408
0.121354,26432.553408
0.124413,26432.553408
0.130152,26432.542887
0.132720,26432.542887
0.135727,26432.542887
0.141189,26432.365995
0.146433,26432.365995
0.152669,26432.365995
0.154989,26432.365995
0.157586,26432.365995
0.160177,26432.365995
0.163208,26432.365995
0.166292,26432.365995
0.169311,26432.365995
0.172321,26432.365995
0.175267,26432.365995
0.178445,26432.365995
0.180815,26432.365995
0.186050,26432.247202
0.188734,26432.247202
0.191004,26432.247202
0.193228,26432.247202
0.195404,26432.247202
0.197987,26432.247202
0.200157,26432.247202
0.202327,26432.247202
0.204510,26432.247202
0.206680,26432.247202
0.211182,26432.247202
0.214705,26432.247202
0.217090,26432.247202
0.219267,26432.247202
0.221440,26432.247202
0.223767,26432.247202
0.225964,26432.247202
0.228896,26432.247202
0.234536,26423.925184
0.240702,26425.933495
0.245982,26423.504388
0.251469,26422.869718
0.257911,26427.875883
0.263409,26420.590765
0.268982,26415.420633
0.274613,26410.945744
0.282635,26414.755855
0.288073,26414.554347
0.293274,26412.349683
0.300604,26411.555084
0.306917,26407.823812
0.313078,26404.661072
0.318403,26404.453912
0.324797,26393.247177
0.327834,26393.247177
0.333210,26392.295991
0.338554,26389.659381
0.343856,26385.164244
0.349121,26385.057493
0.353326,26385.057493
0.357576,26385.057493
0.362194,26385.057493
0.366338,26385.057493
0.370888,26385.057493
0.375445,26385.057493
0.380933,26385.057493
0.389197,26385.057493
0.393450,26385.057493
0.397099,26385.057493
0.400485,26385.057493
0.403785,26385.057493
0.409974,26385.057493
0.412323,26385.057493
0.414640,26385.057493
0.416953,26385.057493
0.419154,26385.057493
0.421670,26385.057493
0.423855,26385.057493
0.426045,26385.057493
0.428360,26385.057493
0.431512,26385.057493
0.434457,26385.057493
0.436881,26385.057493
0.439073,26385.057493
0.441278,26385.057493
0.443477,26385.057493
0.446334,26385.057493
0.448538,26385.057493
0.451519,26385.057493
0.454969,26385.057493
0.457648,26385.057493
0.461720,26385.057493
0.463938,26385.057493
0.466123,26385.057493
0.468322,26385.057493
0.470529,26385.057493
0.472714,26385.057493
0.476304,26385.057493
0.479351,26385.057493
0.482221,26385.057493
0.485522,26385.057493
0.488916,26385.057493
0.491795,26385.057493
0.495233,26385.057493
0.499050,26385.057493
0.502521,26385.057493
0.505536,26385.057493
0.508360,26385.057493
0.514251,26385.057493
0.518371,26385.057493
0.522031,26385.057493
0.526674,26385.057493
0.529786,26385.057493
0.532921,26385.057493
0.535952,26385.057493
0.540045,26385.057493
0.543589,26385.057493
0.546445,26385.057493
0.549153,26385.057493
0.551779,26385.057493
0.556999,26385.057493
0.559931,26385.057493
0.564255,26385.057493
0.572307,26385.057493
0.575150,26385.057493
0.577689,26385.057493
0.580079,26385.057493
0.582470,26385.057493
0.585409,26385.057493
0.589603,26385.057493
0.592054,26385.057493
0.594455,26385.057493
0.596776,26385.057493
0.599087,26385.057493
0.602409,26385.057493
0.606321,26385.057493
0.609135,26385.057493
0.611444,26385.057493
0.613767,26385.057493
